"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.28,0.2374,0.2804,0.2373,0.2804,0.2373,0.2809,0.2368,0.28,0.2374
"baseline-HL",0.1156,0.1141,0.1146,0.1151,0.1146,0.1151,0.1156,0.1142,0.1156,0.1141
"baseline-RL",0.1156,0.1141,0.1146,0.1151,0.1146,0.1151,0.1156,0.1142,0.1156,0.1141
"baseline-SA",0.1156,0.1168,0.1146,0.1151,0.1146,0.1151,0.1156,0.1142,0.1156,0.1141
"BR-C5.0",0.1039,0.102,0.0895,0.0982,0.0992,0.0947,0.1004,0.1001,0.0881,0.1042
"BR+-C5.0",0.1039,0.0998,0.0926,0.0991,0.0983,0.0982,0.1004,0.0996,0.0881,0.102
"CC-C5.0",0.1039,0.0994,0.0891,0.0973,0.0983,0.0947,0.1004,0.0983,0.0881,0.1003
"DBR-C5.0",0.1039,0.1007,0.0926,0.0991,0.0983,0.0982,0.1004,0.0996,0.0881,0.1029
"EBR-C5.0",0.0876,0.0734,0.0701,0.0827,0.0754,0.0742,0.0791,0.0758,0.0718,0.0734
"ECC-C5.0",0.0921,0.0773,0.078,0.0742,0.071,0.0769,0.0871,0.0838,0.0768,0.0773
"MBR-C5.0",0.1021,0.1011,0.0913,0.0987,0.0996,0.0956,0.104,0.1014,0.0908,0.1037
"NS-C5.0",0.0958,0.0885,0.082,0.0893,0.0917,0.0929,0.0924,0.0895,0.0808,0.0951
"PruDent-C5.0",0.1039,0.102,0.0895,0.0987,0.0992,0.0938,0.1004,0.1001,0.0881,0.1042
"RDBR-C5.0",0.1039,0.0998,0.0926,0.0991,0.0983,0.0982,0.1004,0.0996,0.0881,0.102
"BR-LR",0.0587,0.0577,0.0617,0.0649,0.06,0.0622,0.0547,0.0648,0.0565,0.0608
"BR+-LR",0.0592,0.0577,0.0582,0.0658,0.0525,0.0676,0.0551,0.0666,0.0551,0.0551
"CC-LR",0.056,0.056,0.0578,0.0649,0.0626,0.0622,0.0533,0.0648,0.0565,0.0577
"DBR-LR",0.0592,0.0621,0.06,0.0671,0.0525,0.0667,0.0542,0.0635,0.0578,0.0595
"EBR-LR",0.075,0.0664,0.0745,0.0849,0.0675,0.0738,0.0711,0.0763,0.0754,0.0738
"ECC-LR",0.0781,0.0716,0.0723,0.0702,0.0754,0.076,0.0764,0.0763,0.0777,0.0742
"MBR-LR",0.0565,0.0543,0.0608,0.0644,0.0578,0.0644,0.0533,0.0657,0.061,0.0616
"NS-LR",0.0556,0.0595,0.0586,0.0649,0.0613,0.0631,0.0564,0.0688,0.0565,0.0586
"PruDent-LR",0.0587,0.0577,0.0591,0.0658,0.056,0.0618,0.0547,0.0653,0.0574,0.0621
"RDBR-LR",0.0592,0.0612,0.0591,0.0649,0.0525,0.064,0.0556,0.0635,0.0587,0.059
"BR-RF",0.0605,0.0629,0.0591,0.0698,0.0582,0.068,0.0569,0.0683,0.0569,0.0647
"BR+-RF",0.0578,0.0621,0.0608,0.0751,0.0591,0.068,0.0604,0.0675,0.0578,0.0655
"CC-RF",0.0569,0.0638,0.0617,0.0698,0.0591,0.068,0.0631,0.0683,0.0596,0.0647
"DBR-RF",0.0578,0.0621,0.0608,0.0751,0.06,0.068,0.0604,0.0675,0.0578,0.0655
"EBR-RF",0.0641,0.0703,0.0683,0.0747,0.0644,0.0747,0.0631,0.0763,0.0628,0.069
"ECC-RF",0.0678,0.0707,0.0648,0.0738,0.0635,0.0729,0.0667,0.0728,0.0678,0.0673
"MBR-RF",0.056,0.0638,0.0591,0.0689,0.0608,0.0644,0.0613,0.0683,0.0605,0.0621
"NS-RF",0.0569,0.0638,0.0617,0.0698,0.0591,0.068,0.0631,0.0683,0.0596,0.0647
"PruDent-RF",0.0578,0.0647,0.0582,0.0698,0.0591,0.0644,0.0613,0.0675,0.0605,0.0664
"RDBR-RF",0.0578,0.0621,0.0608,0.0751,0.0591,0.0662,0.0604,0.0675,0.0569,0.0655
"BR-SVM",0.0574,0.0586,0.0578,0.0644,0.0582,0.0644,0.0529,0.0635,0.0587,0.0582
"BR+-SVM",0.0587,0.0573,0.0586,0.064,0.0586,0.0631,0.0533,0.0639,0.0587,0.0573
"CC-SVM",0.0565,0.0577,0.0578,0.0636,0.0591,0.0644,0.0524,0.0639,0.0596,0.0573
"DBR-SVM",0.0578,0.0569,0.0586,0.064,0.0586,0.0631,0.0533,0.0639,0.0587,0.0582
"EBR-SVM",0.07,0.0673,0.0745,0.0716,0.0754,0.0747,0.0724,0.0772,0.0723,0.0677
"ECC-SVM",0.0655,0.0686,0.0741,0.0729,0.0741,0.0707,0.0671,0.0732,0.0668,0.072
"MBR-SVM",0.0583,0.0582,0.0578,0.0658,0.0586,0.0636,0.0556,0.0648,0.0596,0.0625
"NS-SVM",0.0565,0.0569,0.0578,0.0636,0.0586,0.064,0.0533,0.0639,0.0592,0.056
"PruDent-SVM",0.0542,0.0577,0.0578,0.0644,0.0551,0.0649,0.0551,0.0644,0.0601,0.0569
"RDBR-SVM",0.0578,0.0573,0.0578,0.064,0.0586,0.0631,0.0533,0.0639,0.0587,0.0573
"BR-SVMt",0.0605,0.0569,0.0666,0.0653,0.0538,0.0627,0.0502,0.0644,0.0623,0.0595
"BR+-SVMt",0.056,0.0577,0.0688,0.0653,0.0586,0.0653,0.056,0.0639,0.0637,0.0599
"CC-SVMt",0.0587,0.0556,0.0582,0.0658,0.0564,0.0596,0.0524,0.0648,0.0619,0.0595
"DBR-SVMt",0.0524,0.0569,0.0622,0.0636,0.056,0.0636,0.052,0.0648,0.0605,0.0625
"EBR-SVMt",0.07,0.0677,0.0723,0.0782,0.0714,0.0764,0.0751,0.0701,0.0705,0.0694
"ECC-SVMt",0.0696,0.0703,0.075,0.072,0.0728,0.0751,0.0707,0.0728,0.07,0.0694
"MBR-SVMt",0.0587,0.0573,0.0626,0.0631,0.06,0.0662,0.0569,0.0657,0.0587,0.0577
"NS-SVMt",0.0519,0.0547,0.0635,0.064,0.06,0.0636,0.0502,0.0648,0.0569,0.0625
"PruDent-SVMt",0.0533,0.0582,0.0631,0.0653,0.0578,0.0644,0.056,0.0635,0.0592,0.0629
"RDBR-SVMt",0.056,0.0582,0.0582,0.0627,0.0586,0.0658,0.056,0.0661,0.0596,0.0634
"BR-XGB",0.0632,0.0647,0.0635,0.0662,0.0635,0.0613,0.0671,0.0741,0.0619,0.0668
"BR+-XGB",0.0641,0.066,0.0653,0.0671,0.0626,0.0636,0.0653,0.0736,0.0619,0.0677
"CC-XGB",0.0641,0.0647,0.0653,0.0667,0.0626,0.0636,0.0653,0.0732,0.061,0.0673
"DBR-XGB",0.0641,0.066,0.0653,0.0671,0.0626,0.0636,0.0653,0.0728,0.0619,0.0681
"EBR-XGB",0.0646,0.0629,0.0692,0.0702,0.0697,0.0693,0.0733,0.067,0.0687,0.0651
"ECC-XGB",0.0614,0.0712,0.0701,0.0684,0.0697,0.068,0.072,0.071,0.0696,0.0651
"MBR-XGB",0.0632,0.0647,0.0635,0.0662,0.0635,0.0613,0.0671,0.0741,0.0619,0.0668
"NS-XGB",0.0628,0.0651,0.0657,0.0671,0.0622,0.0627,0.0653,0.071,0.0601,0.0668
"PruDent-XGB",0.0632,0.0647,0.0635,0.0662,0.0635,0.0618,0.0671,0.0732,0.0619,0.066
"RDBR-XGB",0.0641,0.0651,0.0653,0.0671,0.0626,0.0636,0.0653,0.0728,0.0619,0.0668
