"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0761,0.0762,0.0762,0.0761,0.0761,0.0761,0.0761,0.0761,0.0761,0.0761
"baseline-HL",0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338
"baseline-RL",0.0555,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556
"baseline-SA",0.0218,0.0218,0.0218,0.0218,0.0218,0.0218,0.0218,0.0218,0.0218,0.0218
"BR-C5.0",0.4922,0.4928,0.5128,0.5161,0.5054,0.5137,0.5135,0.5076,0.5091,0.5031
"BR+-C5.0",0.5167,0.5153,0.5209,0.5186,0.5194,0.5156,0.5221,0.5193,0.5143,0.5197
"CC-C5.0",0.521,0.4921,0.5239,0.5203,0.5177,0.5157,0.5153,0.5195,0.5136,0.5117
"DBR-C5.0",0.5169,0.5138,0.5195,0.517,0.5187,0.5148,0.52,0.5189,0.5127,0.5192
"EBR-C5.0",0.5784,0.5728,0.5769,0.593,0.5727,0.5776,0.579,0.5731,0.5786,0.5783
"ECC-C5.0",0.5856,0.5756,0.581,0.5852,0.5721,0.5735,0.5782,0.571,0.5833,0.5851
"MBR-C5.0",0.5027,0.4964,0.526,0.522,0.5166,0.5257,0.5269,0.5165,0.5216,0.5071
"NS-C5.0",0.5042,0.4879,0.4989,0.5119,0.5091,0.5083,0.5095,0.5135,0.5072,0.5026
"PruDent-C5.0",0.4922,0.4928,0.5128,0.5161,0.5054,0.5137,0.5135,0.5076,0.5091,0.5031
"RDBR-C5.0",0.5131,0.514,0.5157,0.5128,0.5153,0.5128,0.5154,0.5153,0.5067,0.5153
"BR-LR",0.5774,0.56,0.5664,0.5792,0.5676,0.5737,0.5749,0.5636,0.5753,0.5691
"BR+-LR",0.5825,0.5706,0.5677,0.5816,0.5723,0.5823,0.5849,0.5704,0.5775,0.5799
"CC-LR",0.5774,0.5647,0.5658,0.5746,0.5692,0.5753,0.579,0.5688,0.5737,0.5739
"DBR-LR",0.5799,0.5694,0.5697,0.5809,0.5745,0.5804,0.5821,0.5679,0.5769,0.5743
"EBR-LR",0.5708,0.5665,0.5678,0.5821,0.56,0.5665,0.575,0.5568,0.582,0.5775
"ECC-LR",0.5827,0.5587,0.569,0.581,0.5678,0.565,0.582,0.563,0.5835,0.5707
"MBR-LR",0.5765,0.5625,0.5656,0.5774,0.5657,0.573,0.5747,0.5651,0.5728,0.5688
"NS-LR",0.5696,0.5535,0.5548,0.5713,0.5534,0.568,0.5702,0.5559,0.565,0.5592
"PruDent-LR",0.5758,0.5633,0.5667,0.5772,0.5616,0.5727,0.5756,0.5622,0.5707,0.5703
"RDBR-LR",0.5771,0.5715,0.5699,0.5808,0.5735,0.5791,0.5791,0.5698,0.5761,0.5774
"BR-RF",0.5786,0.5825,0.5885,0.588,0.5648,0.5578,0.5617,0.5625,0.5821,0.5817
"BR+-RF",0.5817,0.5859,0.5879,0.5927,0.5622,0.5586,0.5625,0.5577,0.5834,0.5809
"CC-RF",0.5823,0.5834,0.5887,0.5945,0.5634,0.562,0.563,0.5585,0.5814,0.5824
"DBR-RF",0.582,0.5867,0.5904,0.5925,0.5623,0.5602,0.5647,0.5607,0.5824,0.5806
"EBR-RF",0.6118,0.6061,0.6136,0.6191,0.5834,0.5839,0.5888,0.5799,0.6086,0.6077
"ECC-RF",0.6073,0.6066,0.6136,0.6213,0.5868,0.5866,0.5871,0.5821,0.6118,0.6085
"MBR-RF",0.581,0.5854,0.5901,0.594,0.5655,0.561,0.5616,0.5608,0.5831,0.5809
"NS-RF",0.579,0.5872,0.59,0.5899,0.5608,0.5616,0.5649,0.5593,0.5839,0.5811
"PruDent-RF",0.5794,0.5843,0.5879,0.5889,0.5636,0.5561,0.5629,0.562,0.581,0.5804
"RDBR-RF",0.5805,0.5817,0.5884,0.5898,0.5611,0.557,0.56,0.5581,0.58,0.5807
"BR-SVM",0.5749,0.5613,0.5651,0.5782,0.5627,0.5732,0.5739,0.5626,0.5739,0.5728
"BR+-SVM",0.5825,0.5678,0.5723,0.583,0.5721,0.5815,0.5811,0.5672,0.5769,0.577
"CC-SVM",0.5773,0.5591,0.5672,0.5736,0.5686,0.5768,0.58,0.567,0.5743,0.5756
"DBR-SVM",0.5811,0.5676,0.5695,0.5825,0.5723,0.58,0.5837,0.5697,0.5761,0.5764
"EBR-SVM",0.6219,0.612,0.6137,0.6168,0.6076,0.614,0.6163,0.6037,0.6174,0.6123
"ECC-SVM",0.619,0.6029,0.6074,0.6139,0.6044,0.6106,0.6153,0.6044,0.6109,0.6105
"MBR-SVM",0.5748,0.5628,0.5648,0.5767,0.5611,0.5735,0.5776,0.563,0.573,0.5711
"NS-SVM",0.5723,0.5571,0.5602,0.5716,0.5633,0.5719,0.5741,0.563,0.569,0.5667
"PruDent-SVM",0.5747,0.5617,0.5641,0.577,0.5625,0.5704,0.5735,0.5596,0.573,0.57
"RDBR-SVM",0.5801,0.5734,0.5712,0.5809,0.5744,0.578,0.5791,0.5687,0.5764,0.5764
"BR-SVMt",0.6553,0.6439,0.6535,0.6427,0.6298,0.6356,0.6275,0.6286,0.6332,0.6408
"BR+-SVMt",0.661,0.655,0.6469,0.6596,0.6106,0.5935,0.597,0.6103,0.5932,0.6097
"CC-SVMt",0.6557,0.6541,0.6578,0.6545,0.6348,0.6386,0.6445,0.6337,0.6526,0.6408
"DBR-SVMt",0.6604,0.6562,0.6617,0.6395,0.6346,0.6288,0.6248,0.61,0.5945,0.6083
"EBR-SVMt",0.6496,0.6376,0.6448,0.6542,0.6351,0.642,0.6461,0.6331,0.6505,0.6437
"ECC-SVMt",0.6453,0.6421,0.6322,0.6496,0.6351,0.624,0.6248,0.635,0.6421,0.6462
"MBR-SVMt",0.6403,0.6281,0.5821,0.6409,0.6081,0.6182,0.6197,0.6094,0.6357,0.6309
"NS-SVMt",0.6626,0.6501,0.6597,0.6495,0.6336,0.6368,0.6425,0.6308,0.6228,0.6524
"PruDent-SVMt",0.6525,0.6446,0.6545,0.6415,0.6276,0.6251,0.6414,0.6093,0.636,0.6313
