"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0217,0.0218,0.0217,0.0218,0.0217,0.0217,0.0217,0.0217,0.0217,0.0218
"baselineHL",0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145
"baselineRL",0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238
"baselineSA",0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163
"BR-C5.0",0.2513,0.2545,0.2589,0.2581,0.2639,0.2695,0.2658,0.2645,0.2618,0.2874
"BR-LR",0.5739,0.6113,0.5873,0.5831,0.6106,0.5875,0.5893,0.5857,0.5864,0.579
"BR-RF",0.5533,0.5705,0.5721,0.548,0.5645,0.5484,0.5902,0.5443,0.5503,0.5576
"BR-SVM",0.5793,0.6127,0.5929,0.5872,0.6114,0.5874,0.5833,0.5939,0.6038,0.5851
"BR-XGB",0.6532,0.6705,0.6925,0.6918,0.6798,0.6879,0.6587,0.6862,0.6737,0.6908
"BR+-C5.0",0.2811,0.2423,0.2108,0.2958,0.2634,0.2727,0.2545,0.2715,0.2442,0.27
"BR+-LR",0.5,0.5482,0.5123,0.5153,0.5556,0.5098,0.5346,0.5201,0.5077,0.538
"BR+-RF",0.5749,0.6157,0.6265,0.598,0.5994,0.5927,0.5891,0.5881,0.5818,0.5773
"BR+-SVM",0.4914,0.5449,0.5104,0.5003,0.5437,0.5122,0.4979,0.543,0.4949,0.532
"BR+-XGB",0.5675,0.5712,0.5984,0.5717,0.5642,0.5886,0.5715,0.6095,0.5579,0.5876
"CC-C5.0",0.2501,0.2324,0.2475,0.2575,0.2365,0.2486,0.2363,0.2499,0.2369,0.2558
"CC-LR",0.5484,0.5804,0.5832,0.5451,0.5677,0.5497,0.5532,0.5636,0.5468,0.5395
"CC-RF",0.5947,0.5951,0.5958,0.5662,0.5888,0.5654,0.5573,0.5467,0.5722,0.5494
"CC-SVM",0.5475,0.5563,0.5758,0.5445,0.5616,0.5616,0.5548,0.5661,0.5516,0.5446
"CC-XGB",0.6137,0.6508,0.6356,0.6782,0.6549,0.649,0.6055,0.6505,0.6152,0.6524
"DBR-C5.0",0.2657,0.2387,0.2355,0.2565,0.2493,0.2772,0.2505,0.2736,0.2325,0.2706
"DBR-LR",0.5057,0.5616,0.5162,0.5118,0.5795,0.5027,0.52,0.5136,0.5245,0.5286
"DBR-RF",0.5691,0.6214,0.6089,0.5783,0.6168,0.6078,0.5969,0.5862,0.623,0.5764
"DBR-SVM",0.5008,0.5492,0.5315,0.5062,0.5822,0.5244,0.5376,0.5346,0.4974,0.5377
"DBR-XGB",0.5627,0.5696,0.5936,0.566,0.5549,0.5848,0.5656,0.6049,0.552,0.588
"EBR-C5.0",0.3724,0.3882,0.3734,0.3834,0.4025,0.388,0.4103,0.4085,0.3896,0.4149
"EBR-LR",0.3029,0.3244,0.3146,0.3334,0.3314,0.3376,0.32,0.3241,0.3152,0.3181
"EBR-RF",0.6404,0.6357,0.6298,0.6101,0.603,0.5917,0.6036,0.6368,0.6005,0.6176
"EBR-SVM",0.3424,0.3509,0.3469,0.3389,0.3472,0.3372,0.3493,0.3454,0.3377,0.3482
"EBR-XGB",0.5585,0.601,0.5744,0.583,0.5642,0.5882,0.5753,0.6087,0.5711,0.5809
"ECC-C5.0",0.373,0.4052,0.4144,0.3875,0.3835,0.4271,0.3764,0.4231,0.3855,0.4612
"ECC-LR",0.2839,0.2831,0.2859,0.2886,0.2926,0.2898,0.2762,0.2832,0.2895,0.3005
"ECC-RF",0.638,0.6401,0.6552,0.631,0.6258,0.6464,0.632,0.6335,0.6433,0.6232
"ECC-SVM",0.4122,0.3041,0.3147,0.301,0.4348,0.3087,0.305,0.3059,0.2988,0.3079
"ECC-XGB",0.6093,0.6461,0.6271,0.6312,0.6521,0.6388,0.5817,0.6105,0.5981,0.6307
"MBR-C5.0",0.27,0.2768,0.2629,0.2598,0.2689,0.2785,0.2648,0.2695,0.2634,0.2788
"MBR-LR",0.585,0.5946,0.5994,0.5752,0.602,0.587,0.5709,0.6036,0.5754,0.5842
"MBR-RF",0.5564,0.5502,0.5793,0.5668,0.5545,0.5435,0.5493,0.5373,0.5695,0.5427
"MBR-SVM",0.5624,0.6158,0.5855,0.5822,0.6137,0.582,0.5801,0.6128,0.5897,0.6016
"MBR-XGB",0.63,0.6716,0.678,0.6667,0.6562,0.6692,0.6402,0.6815,0.6561,0.6789
"NS-C5.0",0.282,0.2745,0.2709,0.2791,0.2697,0.2753,0.2836,0.2686,0.2599,0.2789
"NS-LR",0.5679,0.5931,0.5855,0.576,0.5883,0.5633,0.5784,0.5768,0.5553,0.589
"NS-RF",0.5604,0.5977,0.5893,0.5514,0.5666,0.573,0.5842,0.5762,0.5833,0.5627
"NS-SVM",0.5644,0.606,0.6017,0.5816,0.6351,0.5935,0.5678,0.6075,0.5698,0.6015
"NS-XGB",0.6238,0.6555,0.672,0.6656,0.6632,0.671,0.5719,0.6979,0.6388,0.6629
"PruDent-C5.0",0.259,0.2597,0.2682,0.2687,0.2733,0.2868,0.2758,0.273,0.2657,0.2949
"PruDent-LR",0.5898,0.6394,0.6003,0.5837,0.6428,0.6127,0.5771,0.5842,0.6001,0.5993
"PruDent-RF",0.5635,0.5702,0.5616,0.5467,0.5741,0.56,0.5677,0.5405,0.5686,0.5479
