"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.9604,0.9604,0.9604,0.9604,0.9604,0.9604,0.9604,0.9604,0.9604,0.9604
"baselineHL",0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802,0.9802
"baselineRL",0.9505,0.9505,0.9505,0.9505,0.9505,0.9505,0.9505,0.9505,0.9505,0.9505
"baselineSA",0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703
"BR-C5.0",0.4752,0.4653,0.4752,0.4554,0.4554,0.4752,0.4752,0.4554,0.4653,0.4257
"BR-LR",0.1089,0.099,0.1287,0.1584,0.099,0.1386,0.1188,0.1386,0.1386,0.1485
"BR-RF",0.3465,0.3465,0.3465,0.3465,0.3366,0.3465,0.3267,0.3465,0.3564,0.3366
"BR-SVM",0.0891,0.1089,0.1287,0.1584,0.099,0.1089,0.1188,0.1188,0.1188,0.1485
"BR-XGB",0.1386,0.1188,0.0891,0.0891,0.1188,0.1188,0.1089,0.1188,0.1089,0.0891
"BR+-C5.0",0.3267,0.396,0.3762,0.3069,0.297,0.3069,0.3861,0.3366,0.3366,0.3564
"BR+-LR",0.1089,0.0792,0.1287,0.1188,0.1089,0.1287,0.0792,0.1287,0.1089,0.1188
"BR+-RF",0.3267,0.2772,0.2772,0.2871,0.2772,0.297,0.297,0.297,0.2871,0.3069
"BR+-SVM",0.1188,0.1089,0.1386,0.1188,0.1089,0.1386,0.1188,0.099,0.1089,0.1188
"BR+-XGB",0.1683,0.1188,0.1287,0.1287,0.1584,0.1287,0.1188,0.099,0.1287,0.1287
"CC-C5.0",0.4257,0.5149,0.4455,0.4455,0.4455,0.4356,0.4554,0.4554,0.4554,0.4653
"CC-LR",0.0891,0.1089,0.0891,0.1584,0.1089,0.1287,0.1386,0.1089,0.1386,0.1386
"CC-RF",0.3069,0.3069,0.3069,0.3168,0.297,0.3267,0.3465,0.3465,0.297,0.3465
"CC-SVM",0.099,0.1485,0.1188,0.1287,0.1188,0.099,0.1287,0.1089,0.1386,0.1089
"CC-XGB",0.1782,0.1386,0.1386,0.1188,0.1485,0.1386,0.1287,0.1485,0.1485,0.1287
"DBR-C5.0",0.3168,0.3663,0.3267,0.3267,0.2871,0.3168,0.3762,0.3168,0.3465,0.3465
"DBR-LR",0.099,0.099,0.1386,0.1386,0.0891,0.1386,0.1188,0.1287,0.099,0.1386
"DBR-RF",0.3267,0.2772,0.297,0.3069,0.2574,0.297,0.2871,0.297,0.2574,0.3069
"DBR-SVM",0.1188,0.099,0.1188,0.1485,0.0891,0.1287,0.0693,0.099,0.1089,0.1188
"DBR-XGB",0.1683,0.1188,0.1287,0.1287,0.1584,0.1287,0.1188,0.0891,0.1287,0.1188
"EBR-C5.0",0.2079,0.1881,0.2079,0.2475,0.198,0.1782,0.1782,0.2178,0.2079,0.2277
"EBR-LR",0,0,0,0,0,0,0,0,0,0
"EBR-RF",0.1881,0.2079,0.1683,0.198,0.1881,0.2376,0.1782,0.1782,0.1881,0.198
"EBR-SVM",0,0,0,0,0,0,0,0,0,0
"EBR-XGB",0.0594,0.0495,0.0297,0.0495,0.0396,0.0495,0.0495,0.0396,0.0396,0.0693
"ECC-C5.0",0.2772,0.2574,0.2673,0.2673,0.2673,0.2376,0.297,0.2574,0.2574,0.2178
"ECC-LR",0,0,0.0198,0,0,0.0099,0,0,0,0
"ECC-RF",0.1782,0.1782,0.1485,0.1683,0.1782,0.1683,0.1881,0.1584,0.1485,0.1881
"ECC-SVM",0,0,0,0,0.0099,0,0,0,0,0
"ECC-XGB",0.1287,0.099,0.099,0.1089,0.0792,0.0891,0.1089,0.1089,0.1287,0.1089
"MBR-C5.0",0.4356,0.4158,0.4554,0.396,0.4257,0.4257,0.4257,0.4059,0.4356,0.4059
"MBR-LR",0.0792,0.1089,0.099,0.1287,0.0891,0.099,0.1188,0.1089,0.1089,0.1188
"MBR-RF",0.3465,0.3564,0.3465,0.3366,0.3465,0.3564,0.3465,0.3465,0.3168,0.3465
"MBR-SVM",0.0891,0.0891,0.1188,0.1287,0.099,0.1089,0.1188,0.099,0.1188,0.099
"MBR-XGB",0.1584,0.1188,0.099,0.1089,0.1485,0.1386,0.1287,0.1287,0.1287,0.1089
"NS-C5.0",0.4653,0.4653,0.4752,0.4653,0.4455,0.4356,0.4455,0.4455,0.4752,0.4653
"NS-LR",0.198,0.1881,0.1881,0.2277,0.2079,0.2277,0.198,0.2079,0.198,0.1881
"NS-RF",0.3267,0.297,0.3069,0.3465,0.3168,0.3168,0.3069,0.3267,0.2871,0.3366
